"Item","FILENAME","DESCRIPTIO","TAGNAME","TAGDESC","EXPRATION","FORCOND"
252,"m_ordrnd","Poln Id","m_ordrnd","P/O","Str(m_ordrnd->poln_id,9,2)","NIL"
253,"c_size","size","c_size","size","size_id","NIL"
254,"c_sbstxx","XX Substitution - Couplers","indxx","XX Substitution - Couplers","ptype_id+size_id+req_xx+subst_xx","NIL"
255,"c_sbpbxx","Pcking Bat Substitution XX - Capacitors","inxx","Pcking Bat Substitution XX - Capacitors","ptype_id+pline_id+size_id+req_xx+subst_xx","NIL"
256,"c_sbpbxx","Pck Bat Substit. XX-Fuses,Ind.,Couplers","ixx","Pck Bat Substit. XX-Fuses,Ind.,Couplers","ptype_id+req_xx+subst_xx","NIL"
257,"c_hierar","priorities","hierar","priorities","c_hierar->tol_id+c_hierar->volt_id+c_hierar->tc_id","NIL"
258,"d_stock","ESN Top XX(non zero)","istktop2","Top-down XX(non zero)","padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+ltrim(Str(d_stock->value_id,9,3))+d_stock->esnxx_id+d_stock->tol_id+d_stock->volt_id+d_stock->tc_id+d_stock->term_id+d_stock->esny_id,23)","[wh1+wh2+wh8+wh9+wh6+wh7>0]"
259,"d_stock","Top Down & wh1+wh2>500","ipckbtch","Scheduling - Fuses Packing Batch","d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+Str(d_stock->value_id,9,3)+str(999999-(d_stock->wh1+d_stock->wh2),7,0)","[d_stock->wh2>500]"
260,"d_line","Product line","dlinepic","Product line","pline_id","NIL"
261,"d_stock","Top Down & wh1+wh2>500","ipckbtcp","Scheduling - Couplers Packing Batch","d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+str(999999-(d_stock->wh1+d_stock->wh2),7,0)","[d_stock->wh2>500]"
262,"d_frzstk","batches not allocated by scheduling","mainkey","batches not allocated by scheduling","b_id+esn_id+loc","NIL"
263,"d_frzln","batches not promised by scheduling","main","batches not promised by scheduling","b_id","NIL"
264,"c_sbpbxx","pcking batch XX Substitution - Couplers","indxx","pcking batch XX Substitution - Couplers","ptype_id+size_id+req_xx+subst_xx","NIL"
265,"c_tol","for schedulling","c_pseq","Prod.type+seq.no","ptype_id+seq_no","NIL"
266,"d_stock","Top Down & wh1+wh2>500","ipckbtlp","Scheduling - Inductors Packing Batch","d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+Str(value_id,9,3)+tol_id+str(999999-(d_stock->wh1+d_stock->wh2),7,0)","[d_stock->wh2>500]"
267,"d_avail","Availeble qty to promise","family","type+line+size+value","ptype_id+pline_id+size_id+Str(value_id,9,3)","NIL"
268,"d_avail","Availeble qty to promise","bid","batch+tol","b_id+tol_id","NIL"
269,"d_ord","Top-down for re-allocations","iordreal","Top-down ESN for re-allocations","padr(d_ord->ptype_id+d_ord->pline_id+d_ord->size_id+ltrim(Str(d_ord->value_id,9,3))+d_ord->tol_id+d_ord->volt_id+d_ord->tc_id+d_ord->term_id+d_ord->esnxx_id+d_ord->esny_id,23)+iif(empty(d_ord->d_mrkdlv),dtos(d_ord->d_ackndlv),dtos(d_ord->d_mrkdlv))","[d_ord->poln_stat$"" _Q_K_T""]"
270,"d_ord","EDI by Cust Id.","iordcuid","poln_stat+cu_id","d_ord->poln_stat+d_ord->cu_id","NIL"
271,"d_ord","EDI by Due Date","iordduda","poln_stat+dtos(duedate)+poln_id","d_ord->poln_stat+dtos(d_ord->D_ackndlv)+str(d_ord->poln_id,9,2)","NIL"
272,"d_ord","EDI Incremental Due Date","iordduds","poln_stat+dtoc(duedate)+poln_id","d_ord->poln_stat+dtoc(d_ord->D_ackndlv)+str(d_ord->poln_id,9,2)","NIL"
273,"edi_h","EDI Headers file","edi_h","Edi header file","field->PO_NUM+dtos(field->upld_date)+str(field->upld_num,6)","NIL"
274,"edi_d","EDI Details file","edi_d","Edi details file","field->PO_NUM+dtos(field->upld_date)+str(field->upld_num,6)+str(field->line_num,4)","NIL"
275,"edi_s","EDI Scheduled details file","edi_s","Edi scheduled details file","field->PO_NUM+dtos(field->upld_date)+str(field->upld_num,6)+str(field->line_num,4)","NIL"
276,"edi_cust","Edi customer macthing table","edi_cust","Edi customer macthing table","upper(field->edicunam)","NIL"
277,"edi_ord","EDI orders table","edi_ord","EDI orders table","str(field->poln_id,9,2)","NIL"
278,"edi_ord","EDI orders marked/unmarked at table","edi_acc","EDI orders marked/unmarked at table","edi_ord->accept+str(edi_ord->poln_id,9,2)","NIL"
279,"prev_acc","EDI TEMP file:accepted by date:search","acc_date","EDI TEMP file:accepted by date:search","dtos(field->acc_date)+str(field->acc_id,4)","NIL"
280,"prev_acc","EDI TEMP file:accepted by ID.","acc_id","EDI TEMP file:accepted by ID.","str(field->acc_id,4)+dtos(field->acc_date)","NIL"
281,"prev_acc","EDI TEMP file:accepted by date","acc_datc","EDI TEMP file:accepted by date","dtoc(field->acc_date)+str(field->acc_id,4)","NIL"
282,"d_stock","Top Down & wh1+wh2>500","ipckbtca","Scheduling - Capacitors Packing Batch","d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+Str(value_id,9,3)+tol_id+tc_id+Upper(b_ncaps)+str(999999-(d_stock->wh1+d_stock->wh2),7,0)","[(d_stock->wh2>500).and.(b_ncaps<>""  "")]"
283,"d_ord","EDI by Poln_id","iordpoid","poln_stat+poln_id","d_ord->poln_stat+str(d_ord->poln_id,9,2)","NIL"
284,"t_ord41","Open orders","t_ord413","Top-down + market due ( ,Q,K,T)","padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+tol_id,23)+iif(empty(d_mrkdlv),dtos(d_ackndlv),dtos(d_mrkdlv))","[d_ord->poln_stat$"" _Q_K_T""]"
285,"t_ord41","ESN (params)","t_ord411","Top Down ESN","PADR(t_ord41->ptype_id+t_ord41->pline_id+t_ord41->size_id+LTRIM(STR(t_ord41->value_id,9,3))+t_ord41->tol_id+t_ord41->volt_id+t_ord41->tc_id+t_ord41->term_id+t_ord41->esnxx_id+t_ord41->esny_id,23)","NIL"
286,"c_bncaps","caps","cap","cap","c_bncaps->bncaps","NIL"
287,"sch_com","Schedling results approving","sch","sch_com","str(poln_id,9,2) + dtoc(prom_date)","NIL"
288,"c_prornd","wip clstr","iwip","wip","wip_clstr","[!empty(proj_dep)]"
289,"d_insrnd","Instruction id","instrid","Instruction code","Str(instr_id,5)","NIL"
290,"d_insrnd","Name","instrnm","Instruction text hebrew","Substr(instr_nmh,64,1)+Substr(instr_nmh,63,1)+Substr(instr_nmh,62,1)+Substr(instr_nmh,61,1)+Substr(instr_nmh,60,1)+Substr(instr_nmh,59,1)","NIL"
291,"d_insrnd","Authuor","instrau","Author hebrew","Substr(instr_auth,10,1)+Substr(instr_auth,9,1)+Substr(instr_auth,8,1)+Substr(instr_auth,7,1)+Substr(instr_auth,6,1)+Substr(instr_auth,5,1)","NIL"
292,"d_insrnd","Proc spec","instrps","Process specification","proc_spec","NIL"
293,"edi_h","EDI Headers file PO+status","edi_h_stat","Edi header file PO + status","edi_h->PO_NUM+edi_h->edi_status","NIL"
294,"BEST_PRD","Best products report. Special req. MKT","best_prd","none","best_prd->ptype_id+best_prd->pline_id+best_prd->size_id+str(best_prd->value_id,9,2)+best_prd->tol_id","NIL"
295,"BEST_ORD","Best products report. Special req. MKT","best_ord","none","best_ord->ptype_id+best_ord->pline_id+best_ord->size_id+str(99999999-best_ord->qty_shipln,8,0)","NIL"
296,"c_diel","Dielecter","id","Dielecter","diel_id","NIL"
297,"m_ordreq","Poln Id","m_ordreq","P/O","Str(m_ordreq->poln_id,9,2)","NIL"
298,"c_thqty","Line+Size+OrigUOM+ConvUOm","ilinuom","Line+Size+OrigUOM+ConvUOM","c_thqty->pline_id+c_thqty->size_id+c_thqty->orig_uom+c_thqty->conv_uom","NIL"
299,"d_ord","EDI by SONO","istsono","poln_stat+sono","d_ord->poln_stat+d_ord->sono","NIL"
300,"d_reels","Reel Serial #","ireellbl","Reel serial no","STR(d_reels->reel_sn)","NIL"
301,"h_alloc","Ser No","hallcser","Alloc. ser no","STR(h_alloc->sm_serno)","NIL"
302,"d_line","ESN+Batch status","esn_idln","ESN+Batch status","esn_id+b_stat","NIL"
303,"d_line","for schedulling","isched","Family","ptype_id+pline_id+size_id+Str(value_id,9,3)","NIL"
304,"h_shipd","Doc No","hshipddn","Document no","doc_no","NIL"
305,"h_shiph","Agent+Doc No","hshiphag","Agent + Document no","billag_id+doc_no","NIL"
306,"d_esn","Top-down ESN","in_esnp","Type+Line+size+Tol+Value","padr(d_esn->ptype_id+d_esn->pline_id+d_esn->size_id+d_esn->tol_id+ltrim(Str(d_esn->value_id,9,3))+d_esn->volt_id+d_esn->tc_id+d_esn->term_id+d_esn->esnxx_id+d_esn->esny_id,23)","NIL"
307,"BEST_ORD","Best products report. Special req. MKT","best_ord2","none","best_ord->ptype_id+best_ord->size_id+best_ord->pline_id","NIL"
308,"BEST_PRD","Best products report. Special req. MKT","best_prd2","none","best_prd->ptype_id+best_prd->size_id+best_prd->pline_id","NIL"
309,"c_tthqty","Route+Line+Size+OrigUOM+ConvUOm","ilinuom","Route+Line+Size+OrigUOM+ConvUOM","c_tthqty->route_id+c_tthqty->pline_id+c_tthqty->size_id+c_tthqty->orig_uom+c_tthqty->conv_uom","NIL"
310,"c_tthqty","Prime key","itsuom","Rout+B.type+size+OrigUOM+ConvUOM","c_tthqty->route_id+c_tthqty->b_type+c_tthqty->size_id+c_tthqty->orig_uom+c_tthqty->conv_uom","NIL"
311,"d_pcaud","Batch No+Dadd_rec","ipcaud","Batch No+Dadd_rec","d_pcaud->b_id+dtos(d_pcaud->dadd_rec)+d_pcaud->tlu_rec","NIL"
312,"d_insrnd","Ptocess+Authuor","instrprau","Process+Author hebrew","proc_id+Substr(instr_auth,10,1)+Substr(instr_auth,9,1)+Substr(instr_auth,8,1)+Substr(instr_auth,7,1)+Substr(instr_auth,6,1)+Substr(instr_auth,5,1)","NIL"
313,"d_instr","Ptocess+Authuor","instrprau","Process+Author hebrew","proc_id+Substr(instr_auth,10,1)+Substr(instr_auth,9,1)+Substr(instr_auth,8,1)+Substr(instr_auth,7,1)+Substr(instr_auth,6,1)+Substr(instr_auth,5,1)","NIL"
314,"d_shpinv","Shipping Doc","ishpinv","Shipping Doc","d_shpinv->shpdoc","NIL"
315,"d_shpdoc","Shipping Doc NO","ishpdoc","Shipping Doc NO","STR(999999-d_shpdoc->shpdoc,6)","NIL"
316,"ediinv_h","EDI invoice - header","ishpdoc","EDI invoice - header","ediinv_h->shpdoc","NIL"
317,"d_shpbat","Shipping Doc for WIP batches","ishpbat","Shipping Doc for WIP batches","d_shpbat->shpdoc","NIL"
318,"c_shpval","Value for WIP sent to CZ","ishpval","Value for WIP sent to CZ","ptype_id+size_id","NIL"
319,"c_f6scr2","PDC - scr2=F6","if6scr2","PDC - scr2=F6","proc_id+ptype_id","NIL"
320,"d_prnout","MVT. Type+Date+Time","idprnout","MVT. Type+Date+Time","d_prnout->smtype_id+dtos(d_prnout->dadd_rec)+d_prnout->tadd_rec","NIL"
321,"h_prnout","MVT. Type+Date+Time","ihprnout","MVT. Type+Date+Time","h_prnout->smtype_id+dtos(h_prnout->dadd_rec)+h_prnout->tadd_rec","NIL"
322,"d_stock","Non Scheduled batches","istktoxx","Type+line+size+XX+Value","padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+d_stock->esnxx_id,23)","[d_stock->wh1+d_stock->wh2+d_stock->wh7>0]"
323,"d_shiph","despatch","ishipdes","despatch","d_shiph->despatch","[(d_shiph->ship_as $ ""P"")]"
324,"d_line","WkStn+Type+Line+Size+PcCode","iwktlspc","WkStn+Type+Line+Size+PcCode","cpwkstn_id+ptype_id+pline_id+size_id+cp_pccode","[!(b_stat$""CD"")]"
325,"d_reels","sm_serno","ireelser","sm_serno","Str(d_reels->sm_serno,9)","NIL"
326,"d_line","Batchs in Bar code(Slack)- new","nwiSlack","Slack - new","cpproc_id+ptype_id+pline_id+size_id+b_prior+STR(100000+(b_dprom-ExpFindate),6)+IF(b_purp=CHR(55),CHR(50),IF(b_purp=CHR(54),CHR(51),b_purp))","[!(b_stat$""CDMT"")]"
327,"d_irrfin","B_id+CurrProc+RepUnit","IRepUnit","B/N+Current process+Rep Unit","d_irrfin->b_id+d_irrfin->cpproc_id+d_irrfin->rep_unit","NIL"
328,"c_repunt","rep_unt","repunt","rep_unt","c_repunt->rep_unt","NIL"
329,"d_line","Batch status+Project+PromDate","iprojdue","Batch status+Project+PromDate","b_stat+esn_p2+Dtos(b_dprom)","[!(b_stat$""CD"")]"
330,"m_bstamv","B_ID+DLU+TLU","bndlut","B_ID+DLU+TLU","b_id+dtos(dlu_rec)+tlu_rec","NIL"
331,"c_smplbl","pline_id","indlin","pline_id","pline_id","NIL"
332,"edi_s","EDI Scheduled details file","edi_spo","Edi scheduled details file","str(edi_s->poln_id,9,2)+edi_s->edi_status","NIL"
333,"d_nvalbt","file_name+b/n","nvalbtch","file_name+b/n","file_name+b_id","NIL"
334,"m_stkmv","Source B/N+Ref+Move Type","istslwmv","Source B/N+Ref+Move Type","m_stkmv->srb_id+m_stkmv->sm_refno+m_stkmv->smtype_id","[m_stkmv->smtype_id $ ""25_26_27_28_29_30"".and. srwh$""3_4_8"".and. dswh$""8_0""]"
335,"d_shipd","B/N + Date shipped + Time","ishslwmv","B/N + Date shipped + Time","d_shipd->b_id+Dtos(d_shipd->dadd_rec)+d_shipd->tlu_rec","NIL"
336,"d_ord","Open orders TD+Due","itddeu","TD+due date (Open orders ONLY)","d_ord->ptype_id+d_ord->pline_id+d_ord->size_id+iif(empty(d_ord->d_mrkdlv),dtos(d_ord->d_ackndlv),dtos(d_ord->d_mrkdlv))","[!(d_ord->poln_stat$""CD"")]"
337,"d_rejrep","Date","irejrep","DADD_REC","Dtos(d_rejrep->dadd_rec)","NIL"
338,"m_svalmv","Stock value influencing action-Coupler","cplrsvm","Stock value influencing action-Coupler","m_svalmv->ptype_id+m_svalmv->pline_id+m_svalmv->size_id+dtos(m_svalmv->svm_date)+m_svalmv->svm_time","NIL"
339,"d_shpdoc","Shipping Doc NO","inshpdc","Shipping Doc NO","STR(d_shpdoc->shpdoc,6)","NIL"
340,"c_doctyp","c_doctyp","idoctyp","c_doctyp","doc_type","NIL"
341,"d_line","route_id","inroute","route_id","route_id","[!(b_stat$""CD"")]"
342,"d_line","route_id2","indrout2","route_id2","route_id2","[!(b_stat$""CD"")]"
343,"d_edsgn","P.type+size+val-Filters","dtfiltr","P.type+size+val-Filters","d_edsgn->ptype_Id+d_edsgn->size_id+ltrim(str(d_edsgn->value_id,9,3))","NIL"
344,"c_wip","Top-Wip","wiptop","Top-Wip","c_wip->ptype_id+c_wip->pline_id+c_wip->size_id+c_wip->tol_id","NIL"
345,"d_dlvnth","Delivery Note","ishpdoc","Delivery Note","STR(999999-d_dlvnth->shpdoc,6)+d_dlvnth->doc_type","NIL"
346,"d_dlvnth","Delivery Note","inshpdc","Delivery Note","STR(d_dlvnth->shpdoc,6)+d_dlvnth->doc_type","NIL"
347,"d_dlvntd","Delivery Note for WIP batches","ishpbat","Delivery Note for WIP batches","STR(d_dlvntd->shpdoc,6)+d_dlvntd->doc_type","NIL"
348,"d_alloc","B/N","iallcbid","B/N+LOC","d_alloc->srb_id+d_alloc->loc","NIL"
349,"d_awbn","Shipping Doc NO","ishpdoc","Shipping Doc NO","d_awbn->doc_no+d_awbn->ship_as+STR(999999-d_awbn->shpdoc,6)","NIL"
350,"d_avmuni","B/n+Stage","ibnstage","B/n+Stage","d_avmuni->b_id+d_avmuni->cpproc_id+str(d_avmuni->cp_stage,4)","NIL"
351,"d_stock","ESN","esn_idnz","** ESN (non zero) **","d_stock->esn_id","[wh1+wh2+wh8+wh9+wh6+wh7>0]"
352,"d_line","Split","i_split","Split","esn_p1","NIL"
353,"d_dlvntd","B/N + Esn + Location","ibnesn","B/N + Esn + Location","d_dlvntd->b_id+d_dlvntd->esn_id+d_dlvntd->loc","NIL"
354,"ediinv_h","EDI invoice - Invoice Number","idocno","EDI invoice - Invoice Number","ediinv_h->doc_no","NIL"
355,"d_line","Batchs in Bar code(Slack)","iSlack","Slack","SubStr(islack,1,22)","[!(b_stat$""CDMT"")]"
356,"d_line","Batchs in Bar code(Slack)- QC proc190.0","qciSlack","Slack QC process 190.0","SubStr(qcislack,1,22)","[!(b_stat$""CDMT"")]"
357,"d_ord","Index for racc12v1","iordslwm","type+line+size+value+d_ordrec","d_ord->ptype_id+d_ord->pline_id+d_ord->size_id+Str(d_ord->value_id,9,3)+dtos(d_ord->d_ordrec)","NIL"
358,"d_esn","ESN(Wip Max Stock > 0)","iesn_id2","ESN","d_esn->esn_id","[d_esn->wip_stock>0]"
359,"d_stock","Stock B/N(wh7>0)","ib_id7","B/N","d_stock->b_id+d_stock->esn_id","[wh7>0]"
360,"d_stock","ESN params - Top down(wh7>0)","istkes7","Top-down ESN","padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+ltrim(Str(d_stock->value_id,9,3))+d_stock->tol_id+d_stock->volt_id+d_stock->tc_id+d_stock->term_id+d_stock->esnxx_id+d_stock->esny_id,23)","[wh7>0]"
361,"d_kit","Kit's index","i_kit","---K I T---","d_kit->esn_id+D_KIT->SIZE_ID+STR(D_KIT->VALUE_ID,8,3)+D_KIT->PLINE_ID","NIL"
362,"d_shiph","Date shipped/Date","ishipd","Date shipped","d_shiph->d_shipd","NIL"
363,"d_stock","ESN params - Top down(wh7>0)","istk_seq","ESN+seq_no","padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+ltrim(Str(d_stock->value_id,9,3))+str(99-val(d_stock->seq_no),2),23)","[wh7>0]"
364,"d_dlvnth","Delivery Note","inssmpl","Delivery Note","STR(d_dlvnth->shpdoc,6)+d_dlvnth->doc_type","[AllTrim(d_dlvntH->doc_type) == ""S2IL"" .and. empty(d_dlvntH->D_SHIPD)]"
365,"d_kit","Kit's index","i_kit_2","---K I T---","d_kit->PTYPE_ID+D_KIT->PLINE_ID+D_KIT->SIZE_ID+STR(D_KIT->VALUE_ID,8,3)+D_KIT->TOL_ID","NIL"
366,"d_alckit","Alloc No.","ialc","Alloc No.","d_alckit->alloc_id+d_alckit->esn_req+d_alckit->esn_bid+str(d_alckit->wh7,6)","NIL"
367,"d_alckit","Batch No.","ib_id","Batch No.","d_alckit->b_id","NIL"
368,"d_alckit","Type No.","i_type","Type  No.","d_alckit->ESN_DESC","NIL"
369,"c_warea","Warea ID","i_warea","Warea ID","c_warea->warea_id+c_warea->proc_id","NIL"
370,"d_warea","Warea ID","i_warea","Warea ID","d_warea->warea_id+dtos(dadd_rec)","NIL"
371,"d_warea","Worker+Area(Not Closed)","i_warclo","Worker+Area(Not Closed)","d_warea->w_id+d_warea->warea_id+dtos(dadd_rec)","[empty(d_warea->FINISH_D)]"
372,"c_warea","Proc ID","i_warclo","Proc ID","c_warea->proc_id","NIL"
373,"d_warea","Worker+Date","i_wid","Worker+Date","d_warea->w_id+dtos(d_warea->dadd_rec)+d_warea->warea_id","NIL"
374,"d_warea","Worker+Date","i_wid2","Worker+Date","d_warea->w_id+dtos(d_warea->finish_d)+d_warea->finish_t+d_warea->warea_id","NIL"
375,"m_stkmv","Src BN + Move type","isbnmvt","Src BN + Move type","m_stkmv->srb_id+m_stkmv->smtype_id","NIL"
376,"m_stkmv","Ref No+Mov Type","istmvr25","Ref No+Mov Type","m_stkmv->sm_refno","[m_stkmv->smtype_id $ ""25_26_27_28_29_30""]"
377,"d_line","Batchs in Bar code(Slack)-201-601","imSlack","Slack(201,301,401,501,601)","Substr(cpproc_id,2,1)+Substr(cpproc_id,2,1)+Substr(cpproc_id,3,1)+Substr(cpproc_id,4,1)+Substr(cpproc_id,2,1)+SubStr(islack,1,22)","[!(b_stat$""CDMT"").and.""01""$cpproc_id]"
378,"d_ordreq","Area+P/O on hold","iarea","Area+P/O on hold","sarea_id+Str(d_ordreq->poln_id,9,2)+DTOS(d_ordrec)+DTOS(d_rqstdlv)+ptype_id+pline_id+size_id+Str(value_id,9,3)+tol_id+volt_id+tc_id+term_id+esnxx_id+esny_id","[(poln_stat $""H_A"")]"
379,"d_warea","Date","i_date","Date","dtos(d_warea->dadd_rec)","NIL"
380,"c_thqty","b.type+Line+Size+OrigUOM+ConvUOm","ilinuom_1","b.type+Line+Size+OrigUOM+ConvUOM","c_thqty->b_type+c_thqty->pline_id+c_thqty->size_id+c_thqty->orig_uom+c_thqty->conv_uom","NIL"
381,"d_ord","blsono","iblsono","blsono","d_ord->text2","NIL"
382,"d_ordreq","blsono","iblsono","blsono","d_ordreq->text2","NIL"
383,"d_EXP","B_ID","IBID","B_ID","D_EXP->B_ID","NIL"
384,"m_bstamv","B_ID+Prev.St+New St","bnprnew","B_ID+CB_STAT+NB_STAT","B_ID+CB_STAT+NB_STAT","NIL"
385,"d_irrfin","B_id+CurrProc+RepUnit+Date","IRep","B/N+Current process+Rep Unit+Date","d_irrfin->b_id+d_irrfin->cpproc_id+STR(999-d_irrfin->cp_stage,4)","NIL"
386,"d_line","Batchs in Bar code(Slack) W","iwSlack","Slack","CPWKSTN_ID+SubStr(islack,6,17)","[!(b_stat$""CDMT"")]"
387,"d_line","Batchs in Bar code(Slack) W Gr.I","iwSlack_1","Slack 1","[GRU1]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. left(CPPROC_ID,3)$""224_227_221_231_217_310_320_323_315_317_461_411_416_418_435_509_511_505_514_517_518_519_610_612_659_615_618_619_652_630_633_326_510_543_537_312_623"" .and. right(cpproc_id,1)$""01234""]"
388,"d_line","Batchs in Bar code(Slack) W Gr.II","iwSlack_2","Slack 2","[GRU2]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. CPPROC_ID$""420.0 423.0 426.0 429.0 520.0 523.0 526.0 538.0 639.0 644.0 626.0_523.1_523.2_538.3_538.4_626.1""]"
389,"d_line","Batchs in Bar code(Slack) W Gr.III","iwSlack_3","Slack 3","[GRU3]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. CPPROC_ID$""203.0303.0325.0413.0462.0417.0437.0419.0506.0507.0508.0506.1507.1508.1442.0433.0403.0438.0501.2529.0608.0608.2608.1647.0609.0655.0654.0631.0638.0275.3632.0625.0661.0617.0621.0""]"
390,"d_line","Batchs in Bar code(Slack) W Gr.IV","iwSlack_4","Slack 4","[GRU4]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. CPPROC_ID$""324.0 430.0 436.0 532.0 541.0 432.0 441.0 530.0 531.0 536.0 431.0 341.0 649.0 653.0 624.0 629.0 323.0 461.0 462.0 532.6 543.1 541.1 541.3 137.1 137.2 137.0""]"
391,"d_line","Batchs in Bar code(Slack) W Gr.V","iwSlack_5","Slack 5","[GRU5]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. CPPROC_ID$""421.0 425.0 428.0 439.0 446.0 521.0 525.0 527.0 539.0 645.0 627.0 648.0 422.0 424.0 427.0 444.0 522.0 524.0 528.0 544.0 404.0 566.1 164.4 541.2 579.1 525.1 577.3 539.1 539.4 627.1""]"
392,"d_line","Batchs in Bar code(Slack) W Gr.VI","iwSlack_6","Slack 6","[GRU6]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. CPPROC_ID$""212.0 212.1 215.0 216.0 311.0 213.0 443.0 445.0 405.0 406.0 512.0 513.0 515.0 516.0 409.0 414.0 622.0 650.0 571.6 571.0 622.1 650.1""]"
393,"d_line","ESN parameters+Pccode(Mod)","ilnesmod","Top-down ESN+ PCcode(Mod)","padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+cp_pccode,21)","[!(b_stat$""CD"")]"
394,"sc_line","ESN Top Down","ilnesnp","Top-down ESN","padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+tol_id+volt_id+tc_id+term_id+esnxx_id+esny_id,23)","[!(b_stat$""CD"")]"
395,"d_line","Batchs in Bar code(Slack) W Gr.0","iwSlack_0","Slack 0","[GRU0]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. CPPROC_ID$""200.0 300.0 400.0 500.0 600.0""]"
396,"d_line","Batchs in Bar code(Slack) W Gr.VII","iwSlack_7","ET VI","[GRU7]+SubStr(islack,6,17)","[!(b_stat$""CDMT"") .AND. CPPROC_ID$""305.0 307.0 422.0 424.0 522.0 524.0 533.0 533.1 544.0 545.0 559.0 603.0 605.0 605.1 605.2 606.0 607.0 607.1 613.0 616.0 628.0 631.0 637.0 646.0 660.0 662.0 415.0 528.4 657.0 407.0 434.0 524.2 643.0 667.0 528.0""]"
397,"d_line","Automotive","ib_aut","Automotive","b_id","[!(b_stat$""CDMT"") .and. esnxx_id$""4B_3N""]"
398,"bms2spc","Translate BMS procs to SPC format","iProc","iSpc","proc_id","NIL"
399,"m_spc","SPC file preparing","iSpc","iSpc","b_id+cwaf+SPC_NME","[!LSPC]"
400,"m_spc","SPC file preparing(x Wfr only)","iSpcX","iSpcX","b_id+cwaf+SPC_NME","[!LSPC .and. ""X""$cWaf]"
401,"m_spc","SPC file preparing Short","iSpcTop","iSpcTop","b_id+SPC_NME","[!LSPC]"
402,"m_loc","basic order","iBID","iBID","b_id+dtos(dadd_rec)","NIL"
