"Item","FILENAME","DESCRIPTIO","TAGNAME","TAGDESC","EXPRATION","FORCOND"
119,"d_shiph","Doc No + Invoice Type","ishipdhn","Document no + Inv. type","d_shiph->doc_no+d_shiph->ship_as","NIL"
120,"d_shiph","Agent+Doc No","ishiphag","Agent + Document no","d_shiph->billag_id+d_shiph->doc_no","[!(d_shiph->ship_as $ ""XP"")]"
121,"d_stock","ESN","esn_idst","ESN","d_stock->esn_id","NIL"
122,"d_stock","ESN params - Top down","istkespr","Top-down ESN","padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+ltrim(Str(d_stock->value_id,9,3))+d_stock->tol_id+d_stock->volt_id+d_stock->tc_id+d_stock->term_id+d_stock->esnxx_id+d_stock->esny_id,23)","NIL"
123,"d_stock","Product Line + size","istkpic","Product line+size","d_stock->pline_id+d_stock->size_id+str(d_stock->value_id,9,3)","NIL"
124,"d_stock","Stock B/N","ib_idstk","B/N","d_stock->b_id","NIL"
125,"d_stock","ESN Top down XX","istktop","Top-down XX","padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+ltrim(Str(d_stock->value_id,9,3))+d_stock->esnxx_id+d_stock->tol_id+d_stock->volt_id+d_stock->tc_id+d_stock->term_id+d_stock->esny_id,23)","NIL"
126,"d_stock","B/N ESN parameters","istkepbn","B/N+ESN(params)","d_stock->b_id+d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+Str(d_stock->value_id,9,3)+d_stock->tol_id+d_stock->volt_id+d_stock->tc_id+d_stock->term_id+d_stock->esnxx_id+d_stock->esny_id","NIL"
127,"d_stock","B/N+ESN+Location","bnesn_st","B/N+ESN+Location","d_stock->b_id+d_stock->esn_id+d_stock->loc","NIL"
128,"d_user","User Name","D_user","User ID+NIC","d_user->user_id+d_user->w_id","NIL"
129,"d_wid","Work ID","iworkid","Workstation ID","d_wid->work_id","NIL"
130,"flocklst","Lock list","fileuser","File+user name","Upper(flocklst->filename+flocklst->username)","NIL"
131,"flocklst","Lock list","filedate","File+lock date","Upper(flocklst->filename)+flocklst->lockdate","[!Empty(flocklst->lockdate)]"
132,"h_alloc","Ref No","hallcref","Alloc. ref no","h_alloc->sm_refno","NIL"
133,"h_alloc","srb_id + sresn_id","hsrbesn","Source B/N+Source ESN","h_alloc->srb_id + h_alloc->sresn_id+h_alloc->loc","NIL"
134,"h_alloc","srb_id + dsesn_id","hdsbesn","Source B/N+Dest ESN","h_alloc->srb_id + h_alloc->dsesn_id","NIL"
135,"h_alloc","poln_id","hpolnid","P/O","STR(h_alloc->poln_id,9,2)","NIL"
136,"h_alloc","srb_id + poln_id","hdsbpoln","Source B/N+P/O","h_alloc->srb_id + STR(h_alloc->poln_id,9,2)","NIL"
137,"h_finqc","B/N","hfinqcbn","B/N","h_finqc->b_id+h_finqc->esn_id","NIL"
138,"h_finqc","Pack B/N","hfinqpbn","Pack B/N","h_finqc->packb_id+h_finqc->esn_id","NIL"
139,"m_linemv","B/N & Curr proc","ilnmvbn","B/N+proccess","m_linemv->b_id+m_linemv->cpproc_id","NIL"
140,"m_linemv","B/N & Stage","ilnmvbs","B/N+stage","m_linemv->b_id+Str(m_linemv->cp_stage,4)","NIL"
141,"m_linemv","ESN","ilnmvesn","ESN","m_linemv->esn_id","NIL"
142,"m_linemv","Stock in proc","ilnmvsip","Proc+prior+b.type+B/N","m_linemv->cpproc_id+m_linemv->b_prior+m_linemv->b_type+m_linemv->b_purp+m_linemv->b_id","[m_linemv->arr .AND. !m_linemv->fin]"
143,"m_linemv","Stock in work station","ilnmvsiw","Wkstn+proc+prior+b.type+B/N","m_linemv->cpwkstn_id+m_linemv->cp_pccode+m_linemv->b_prior+m_linemv->b_type+m_linemv->b_purp+m_linemv->b_id","[m_linemv->arr .AND. !m_linemv->fin .AND. m_linemv->b_stat<>""C""]"
144,"m_linemv","Finish date+time","ilnmvfin","Finish date+time","dtos(m_linemv->cp_dfin)+m_linemv->cp_tfin","NIL"
145,"m_stkmv","Ser No","istmvser","Ser#","Str(m_stkmv->sm_serno,9)","NIL"
146,"m_stkmv","Ref No","istmvref","Ref#","m_stkmv->sm_refno+str(m_stkmv->sm_serno)","NIL"
147,"m_stkmv","Src BN + ref no","istmvsrf","Source B/N+ref#","m_stkmv->srb_id+m_stkmv->sm_refno","NIL"
148,"m_stkmv","Src BN + Move Date","istmvbdt","Source B/N+date+time","m_stkmv->srb_id+dtos(m_stkmv->dadd_rec)+m_stkmv->tadd_rec","NIL"
149,"m_stkmv","Move Date","istmvmdt","date+time","dtos(m_stkmv->dadd_rec)+m_stkmv->tadd_rec","NIL"
150,"m_stkmv","Move type +Src BN +AVX IL P/O","istmvtbd","Move type+source B/N+P/O","m_stkmv->smtype_id+m_stkmv->srb_id+str(m_stkmv->poln_id,9,2)","NIL"
151,"printers","Pr. Name","Printers","Printers","UPPER(pr_name)","NIL"
152,"repsets","report name","irepsets","Reports","Upper(repsets->repname)+repsets->repfile","NIL"
153,"tablist","Table list","tabname","Tables","Upper(tablist->tabname)","NIL"
154,"t_ord41","P/O","t_ord412","P/O","STR(t_ord41->poln_id,9,2)","NIL"
155,"t_prom","B/N","tprombn","B/N","t_prom->b_id","NIL"
156,"t_pack","B/N","tpackbn","B/N","t_pack->b_id","NIL"
157,"users","User name","username","User","Upper(users->username)","NIL"
158,"a_line","Line","ab_idln","B/N+ESN","a_line->b_id+a_line->esn_id","NIL"
159,"a_line","ESN (+b_stat)","asn_idln","ESN+Batch status","a_line->esn_id+a_line->b_stat","NIL"
160,"a_line","ESNp","alnesnp","Top-down ESN","padr(a_line->ptype_id+a_line->pline_id+a_line->size_id+ltrim(Str(a_line->value_id,9,3))+a_line->tol_id+a_line->volt_id+a_line ->tc_id+a_line->term_id+a_line->esnxx_id+a_line->esny_id,23)","NIL"
161,"a_line","ESNTop","alinetop","Top-down XX","padr(a_line->ptype_id+a_line->pline_id+a_line->size_id+ltrim(Str(a_line->value_id,9,3))+a_line->esnxx_id+a_line->tol_id+a_line->volt_id+a_line ->tc_id+a_line->term_id+a_line->esny_id,23)","NIL"
162,"a_line","Btype+ESNp","alnbesnp","Batch type+ESN(params)","a_line->b_type+a_line->size_id+Str(a_line->value_id,9,3)+a_line->tol_id+a_line->volt_id+a_line->tc_id+a_line->term_id+a_line->esnxx_id+a_line->esny_id","NIL"
163,"a_line","Status+Purp+Type+Size+Val+Num","alsptsvn","B.stat+purp+p.type+size+val+B/N","a_line->b_stat+a_line->b_purp+a_line->ptype_id+a_line->size_id+STR(a_line->value_id,9,3)+a_line->b_id","NIL"
164,"a_line","Purp+Type+Size+Val+Num","alptsvn","Purp+p.type+size+val+B/N","a_line->b_purp+a_line->ptype_id+a_line->size_id+STR(a_line->value_id,9,3)+a_line->b_id","NIL"
165,"a_line","OpenDate+Purp+Type+Size+Val+Priority","aloptsvp","D.open+purp+p.typ+siz+val+prior","DtoS(a_line->b_dopen)+a_line->b_purp+a_line->ptype_id+a_line->size_id+STR(a_line->value_id,9,3)+a_line->b_prior","NIL"
